NMHMNPHRMNGLLB-UHFFFAOYSA-N	Hydroxyphenyl Propionic Acid
XPCFTKFZXHTYIP-PMACEKPBSA-N	Benazepril
KXPHYSBLEONPLA-XUVGBCFDSA-M	Chlorophyll B
HVYWMOMLDIMFJA-VFSLAWKOSA-N	Cholesterol
XLSBMEQGTLWICZ-UHFFFAOYSA-N	Calusterone
NWXMGUDVXFXRIG-DXMYQVORSA-N	Tetracycline
DYIJBFZZIMICFM-UHFFFAOYSA-N	Nilvadipine
PUECVJLJBFVUMI-UHFFFAOYSA-N	Tmr
YKONQXIRPQFGOH-UHFFFAOYSA-N	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE
DUKDFMPUZRDWLT-CQSZACIVSA-N	Mercaptocarboxylate Inhibitor
CXRHUYYZISIIMT-AAEUAGOBSA-N	Fluoxymesterone
SDADNVAZGVDAIM-MAFUWASYSA-N	D-Glycero-D-Mannopyranose-7-Phosphate
NUOWFOQTUFBLMU-RFMXWLSYSA-N	Compound 18
VINKPCZSNXPHSC-MJBXVUTDSA-N	Chlorophyll A
SLXTWXQUEZSSTJ-UHFFFAOYSA-N	6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid
LFSNQOFOMJLHIW-MEBFFEOJSA-N	(1S,2R,3S,4R,5R)-2,3,4-trihydroxy-N-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide
PMWMAMZZNZDFPJ-UHFFFAOYSA-N	Ethyl carbamate
BAOICLZZDLLDRL-UHFFFAOYSA-N	3,5-Diaminophthalhydrazide
NMTZPYLSXWGDPW-UHFFFAOYSA-N	Coenzyme A
AQONYROJHRNYQQ-CHRWQSGFSA-N	Viomycin
SLBOXLMLDIGNGG-NQXXGFSBSA-N	1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid
XOWDQAHYPSENAC-ZXZARUISSA-N	1,3-Butanediol
IPRJXAGUEGOFGG-UHFFFAOYSA-N	N-Butyl-Benzenesulfonamide
PZTCVADFMACKLU-CCZWQWCCSA-N	Lymecycline
WKSPNQYEWZEMMI-FEFZDOOUSA-L	Pterin Cytosine Dinucleotide
LBJVHMAYBNQJBK-UHFFFAOYSA-N	Acetamide
AXOIZCJOOAYSMI-UHFFFAOYSA-N	Succinylcholine
QWAXKHKRTORLEM-LINFGICFSA-N	Saquinavir
SXKBTDJJEQQEGE-UHFFFAOYSA-N	3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide
CLWQDORYAJZCJN-SAGBWDNISA-N	Benzoyl-Arginine-Alanine-Methyl Ketone
IAJILQKETJEXLJ-SKNVOMKLSA-N	Galacturonic Acid
XUWPJKDMEZSVTP-UOSCCXBLSA-N	Nanaomycin D
SLRCCWJSBJZJBV-TUVASFSCSA-N	Sparteine
YSEXMKHXIOCEJA-OECQAKIHSA-N	Nicergoline
DCDDUTQGLUAVLL-HZEPFMLTSA-N	Epoprostenol
XTNGUQKDFGDXSJ-PMMPTJNNSA-N	Canagliflozin
VZSQTOXQXPKQJX-ZDUSSCGKSA-N	3',5'-Dinitro-N-Acetyl-L-Thyronine
SUHOQUVVVLNYQR-QMMMGPOBSA-O	Glycerylphosphorylcholine
AQTFKGDWFRRIHR-UHFFFAOYSA-L	Protoporphyrin Ix Containing Co
CKESVQPODPXKGQ-UHFFFAOYSA-M	Theophylline
VSPFURGQAYMVAN-UHFFFAOYSA-N	SB220025
QCICUPZZLIQAPA-XPWFQUROSA-N	Bis(Adenosine)-5'-Triphosphate
RMDAPSXWBVPVOG-QMTHXVAHSA-N	(3R)-4-[(3R)-3-AMINO-4-(2,4,5-TRIFLUOROPHENYL)BUTANOYL]-3-(2,2,2-TRIFLUOROETHYL)-1,4-DIAZEPAN-2-ONE
YKJXQZGJGDTEOC-AWEZNQCLSA-N	6,7,8,9-TETRAHYDRO-4-HYDROXY-3-(1-PHENYLPROPYL)CYCLOHEPTA[B]PYRAN-2-ONE
HDYANYHVCAPMJV-LXQIFKJMSA-N	Udp-Glucuronic Acid
DZOJBGLFWINFBF-UUWRZZSWSA-N	Osanetant
TWFKRODMHXDGLT-UHFFFAOYSA-N	9-Hydroxypropyladenine, R-Isomer
BESHJJNMJCCIPW-MVIOUDGNSA-N	N-Acetyl-D-glucosamine
ZGJYGQLGSXWEMY-UHFFFAOYSA-N	4-[(6-phenyl[1,2,4]triazolo[4,3-b]pyridazin-3-yl)methyl]phenol
MZFOKIKEPGUZEN-AGCMQPJKSA-N	Methylmalonyl-Coenzyme A
JRPJCFILHCLEJI-UHFFFAOYSA-N	5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione
WZOZEZRFJCJXNZ-ZBFHGGJFSA-M	Cefoxitin
QYSXJUFSXHHAJI-IIWAUSLCSA-N	Cholecalciferol
RHJYQVKQDVRWEY-UHFFFAOYSA-N	Aniline
QAGYKUNXZHXKMR-DPOQDUSSSA-N	Nelfinavir
OLCWZBFDIYXLAA-WOIOKPISSA-N	Phosphomethylphosphonic Acid Adenosyl Ester
LEMYAXKYCOBYOJ-OAGWZNDDSA-N	Docetaxel
MKJIEFSOBYUXJB-GDBMZVCRSA-N	Tetrabenazine
PBISNSVOAWXFDM-UHFFFAOYSA-N	3Alpha,17beta-dihydroxy-5alpha-androstane
GTQLIPQFXVKRKJ-UNSMHXHVSA-N	Altropane
DUMAXEIQQNPDDA-IIBRJTMQSA-N	Siroheme
VMWNQDUVQKEIOC-ZDUSSCGKSA-N	Apomorphine
YTPUIQCGRWDPTM-UHFFFAOYSA-N	Butalbital
CRLQCBACIMUGDZ-BGYRXZFFSA-N	dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate
XQFRJNBWHJMXHO-FANCZFNKSA-N	Idoxuridine
OCKPCBLVNKHBMX-UHFFFAOYSA-N	N-Butylbenzene
MRXDGVXSWIXTQL-LROMGURASA-N	Chymostatin
FJKROLUGYXJWQN-UHFFFAOYSA-N	P-Hydroxybenzoic Acid
GKJZMAHZJGSBKD-NMMTYZSQSA-N	(10E,12Z)-octadeca-10,12-dienoic acid
WFLACWNXPGXTDK-UHFFFAOYSA-J	AEOL 10150
XKLZIVIOZDNKEQ-SCWWEXDMSA-N	Sparsomycin
VKHKSOMMWYPNGI-UHFFFAOYSA-N	1S,3AS,8AS-TRIMETHYL-1-OXIDO-1,2,3,3A,8,8A-HEXAHYDROPYRROLO[2,3-B]INDOL-5-YL 2-ETHYLPHENYLCARBAMATE
LXIDJQZEXUQBGG-UHFFFAOYSA-N	3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline
UEDSMMYQDXRRNR-UHFFFAOYSA-N	Vinblastine
ICLWTJIMXVISSR-UHFFFAOYSA-N	Gallamine Triethiodide
NOTGFIUVDGNKRI-PLNFBQKISA-N	Aicar
YTYAKGJMNHDUDF-UHFFFAOYSA-N	Bmsc-0013
ZDFDJJJGIRGMBE-UHFFFAOYSA-N	Nystatin
QURWXBZNHXJZBE-RVQAETMZSA-N	Icatibant
BIDNLKIUORFRQP-XYGFDPSESA-N	Fosinopril
CCDIUVLNHCGSMH-UHFFFAOYSA-N	3-cyclopropyl-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine
YZPQUYYJRQZWKU-UHFFFAOYSA-N	Aminohippurate
UNVOAAWEEGAXTN-UHFFFAOYSA-N	TACRINE(8)-4-AMINOQUINOLINE
BGSZAXLLHYERSY-XQIGCQGXSA-N	Vecuronium
HNEGQIOMVPPMNR-NSCUHMNNSA-N	Citraconic acid
APKFDSVGJQXUKY-DLFSFANISA-N	Amphotericin B
METKIMKYRPQLGS-LMANFOLPSA-N	Atenolol
IIHWAURNXZAECF-UHFFFAOYSA-O	3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium
YJOKRMOBWVFJNN-CQSZACIVSA-N	(1S)-2-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-1-[(PENTANOYLOXY)METHYL]ETHYL OCTANOATE
OLNTVTPDXPETLC-UHFFFAOYSA-N	Ezetimibe
FICNDMKOSFKDHY-RFGYKSFPSA-N	Chlorophyll A
RIWLPSIAFBLILR-QCXUJFLMSA-N	ABT-510
SOBSDCWORWOGKK-AQQUXMPESA-M	Fluorometholone
YZXBAPSDXZZRGB-FOMLJTGCSA-N	Arachidonic Acid
LFGYSFPVLMPUPE-UHFFFAOYSA-N	N-Hydroxy-4-(Methyl{[5-(2-Pyridinyl)-2-Thienyl]Sulfonyl}Amino)Benzamide
XAQWBYJKZNCZPL-BAUARHHTSA-N	Ara-Alpha(1,3)-Xyl
RXVWSYJTUUKTEA-CGQAXDJHSA-N	Amylotriose
UZVHFVZFNXBMQJ-UHFFFAOYSA-N	Butalbital
PHXJVRSECIGDHY-UHFFFAOYSA-N	Ponatinib
KXTYBXCEQOANSX-ZCVKLIFWSA-N	Fusicoccin
WWSAYKJWUZJLRT-UHFFFAOYSA-N	1-Piperidinocyclohexanecarbonitrile
SDUQYLNIPVEERB-QPPQHZFASA-N	Gemcitabine
RHQLNMNKTIOREN-AOIWGVFYSA-N	(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL
CWCHTDVUZXHTLC-UHFFFAOYSA-N	3,5-Dichloro-4-[(4-Hydroxy-3-Isopropylphenoxy)Phenylacetic Acid
BJYVXXXHLXYLEO-UHFFFAOYSA-N	Indomethacin
ZMRRBWRMQPQQAN-UHFFFAOYSA-N	METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE
LKNVJRJETBIKBE-WDUIFATLSA-N	Cardiolipin
SONNWYBIRXJNDC-UHFFFAOYSA-N	Phenylephrine
IUIWALGJZIUPKV-UHFFFAOYSA-M	Succinylcholine
AOJJSUZBOXZQNB-SNFLSGHGSA-N	Doxorubicin
IAJILQKETJEXLJ-SQOUGZDYSA-N	Gluconic Acid
CPLGZXQPPYRNRC-UHFFFAOYSA-N	3-(4-Amino-1-Tert-Butyl-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl)Phenol
ARWHTQLGMWHTAZ-UHFFFAOYSA-N	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
NJLYFHQZGXUQAQ-DGDIGVOGSA-N	Aurodox
DZGSAURIFGGOJK-UHFFFAOYSA-N	Uric Acid
QOVMZMFNTIUFLU-UHFFFAOYSA-N	1-[2-(4-ETHOXY-3-FLUOROPYRIDIN-2-YL)ETHYL]-3-(5-METHYLPYRIDIN-2-YL)THIOUREA
GGPZCOONYBPZEW-UHFFFAOYSA-N	N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide
KZFVBXPJPYYQIY-UQZBLMPMSA-N	Adenosine-5-Diphosphoribose
KCZCIYZKSLLNNH-OZKLVWMQSA-N	Clostebol
WHTVZRBIWZFKQO-UHFFFAOYSA-P	Chloroquine
TZTPJJNNACUQQR-FQEVSTJZSA-N	(2S)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid
CAYJBRBGZBCZKO-BHGBQCOSSA-N	AG7088
RZJRJXONCZWCBN-UHFFFAOYSA-N	Phosphatidylethanolamine
GCZPAJUYLLHQGI-XVSRHIFFSA-N	Domoic Acid
JLYAXFNOILIKPP-KXQOOQHDSA-N	ABT-263
BPLBGHOLXOTWMN-YRGRVCCFSA-M	Penicillin V
LUZRJRNZXALNLM-YKDSXALLSA-N	Dihydroergotamine
SLAYUXIURFNXPG-UHFFFAOYSA-N	Ceforanide
RAKYKJWUUUKCCW-MPLBGYFPSA-N	4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One
OOBHFESNSZDWIU-UHFFFAOYSA-N	Phenmetrazine
HBBVCKCCQCQCTJ-UHFFFAOYSA-N	{4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy}acetic acid
MJWCZWAVSJZQNL-UHFFFAOYSA-N	S-Octylglutathione
WATXEHGLYJKXOF-UHFFFAOYSA-N	[2,4,6-Triisopropyl-Phenylsulfonyl-L-[3-Amidino-Phenylalanine]]-Piperazine-N'-Beta-Alanine
ZYSCHNVPUOSLNC-UHFFFAOYSA-N	Prochlorperazine
NOFOWWRHEPHDCY-DAUURJMHSA-N	Methylergometrine
SRLVNYDXMUGOFI-YWEYNIOJSA-N	(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE
LCPRWBWCEGWNKF-UHFFFAOYSA-N	5-(4-CHLORO-5-PHENYL-3-THIENYL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE
YMARZQAQMVYCKC-XWGVYQGASA-N	Amprenavir
HMFHBZSHGGEWLO-SQOUGZDYSA-N	Ribose
YAPQBXQYLJRXSA-ZDOIIHCHSA-N	Theobromine
ALYUMNAHLSSTOU-HERYOFLYSA-N	Cefprozil
KWTSXDURSIMDCE-QMMMGPOBSA-N	Dextroamphetamine
DUFALIOYSDIFEL-HEIBUPTGSA-N	N-Acetyl-D-glucosamine
HVYWMOMLDIMFJA-FNOPAARDSA-N	Cholesterol
LCTONWCANYUPML-JVVVGQRLSA-N	Pyruvic acid
VQSMWFVKBKMHTO-UHFFFAOYSA-N	6-AMINO-3,7-DIHYDRO-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE
DNTGGZPQPQTDQF-UHFFFAOYSA-N	Crotamiton
YOZNUFWCRFCGIH-WZHZPDAFSA-K	Hydroxocobalamin
NLTUCYMLOPLUHL-GAWUUDPSSA-N	Phosphothiophosphoric Acid-Adenylate Ester
QQDRCCXTXVTYMI-HGWCOZNWSA-N	Retapamulin
GQYIWUVLTXOXAJ-RVRFMXCPSA-N	Lomustine
QMRGRIXXWLVLTR-HTQZYQBOSA-N	3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid
JZCUVYNOSDWORZ-UHFFFAOYSA-N	2-(3-BROMOPHENYL)-6-[(2-HYDROXYETHYL)AMINO]-1H-BENZO[DE]ISOQUINOLINE-1,3(2H)-DIONE
YEJRWHAVMIAJKC-UHFFFAOYSA-N	4-Butyrolactone
CEUORZQYGODEFX-DKAARHFZSA-N	Aripiprazole
XPYBSIWDXQFNMH-PQLUHFTBSA-N	1,6-Fructose Diphosphate (Linear Form)
FXUGQWABROMTDA-GAJHUEQPSA-N	(4-{2-Acetylamino-2-[1-(3-Carbamoyl-4-Cyclohexylmethoxy-Phenyl)-Ethylcarbamoyl}-Ethyl}-2-Phosphono-Phenoxy)-Acetic Acid
JOVTXYJDXFNFTC-GWUBDIPUSA-N	Phosphoaminophosphonic Acid-Adenylate Ester
XVTRBLLRODNOJV-VBJYJYTRSA-N	N-[Isoleucinyl]-N'-[Adenosyl]-Diaminosufone
DQOCFCZRZOAIBN-UHFFFAOYSA-L	Hydroxocobalamin
FELUFXCUIYHAPB-INIZCTEOSA-N	(2-ACETYL-5-METHYLANILINO)(2,6-DIBROMOPHENYL)ACETAMIDE
JHWQMXKQJVAWKI-VIFPVBQESA-N	3-Phenyl-1,2-Propandiol
IKGXIBQEEMLURG-MZQQJHOSSA-N	Rutin
PIJVFDBKTWXHHD-UHFFFAOYSA-N	Physostigmine
DZKPKQSQISRPFB-UHFFFAOYSA-N	Benzo[B]Thiophene-2-Boronic Acid
NSCMUJYQDRALHY-UHFFFAOYSA-N	(Hydroxyethyloxy)Tri(Ethyloxy)Octane
UUGITDASWNOAGG-APTPUMFKSA-N	Cyclouridine
ODKSFYDXXFIFQN-SCSAIBSYSA-N	D-Arginine
DTDZLJHKVNTQGZ-GOSISDBHSA-N	4-[(3-CHLORO-4-{[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]AMINO}PHENYL)SULFONYL]-N,N-DIMETHYLBENZAMIDE
GSDSWSVVBLHKDQ-IFCGXCJZSA-N	Levofloxacin
CLDOLNORSLLQDI-OOAIBONUSA-N	Spirapril
QXRSDHAAWVKZLJ-ITERPUOLSA-N	Epothilone B
CUSPGNDCPOVPBA-UHFFFAOYSA-N	Cetirizine
UVSMMLABJBJNGH-SRMDEQNCSA-N	S-Adenosyl-L-Homoselenocysteine
COKMIXFXJJXBQG-NRFANRHFSA-N	Tirofiban
OVRNDRQMDRJTHS-DMHSOCPYSA-N	N-Acetyl-D-glucosamine
BBUDQLKRZPRPFD-LLVKDONJSA-N	(3R)-3-(FLUOROMETHYL)-N-(3,3,3-TRIFLUOROPROPYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE
VRQVVMDWGGWHTJ-CQSZACIVSA-N	Methotrimeprazine
YIEBQLOYWGFCQV-UHFFFAOYSA-N	Erlotinib
ULGZDMOVFRHVEP-UHFFFAOYSA-N	Erythromycin
KVTPRMVXYZKLIG-UAQZASBRSA-N	Streptolydigin
RFSUNEUAIZKAJO-NSHGFSBMSA-N	Fructose
ASUTZQLVASHGKV-UHFFFAOYSA-N	Galantamine
QPUHWUSUBHNZCG-VHSXEESVSA-N	(1R, 2S)-CIS 1,2 DIHYDROXY-1,2-DIHYDRONAPHTHALENE
FEBLZLNTKCEFIT-UHFFFAOYSA-N	Fluocinolone Acetonide
NYNAFINLHQEHKU-UHFFFAOYSA-N	METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL]AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE
VIQCGTZFEYDQMR-UHFFFAOYSA-N	Fluphenazine
NBDZLUOYAAVYHF-UHFFFAOYSA-N	3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole
VMHDPTGBKAXKIY-VIFPVBQESA-N	(1R, 2S)-CIS 1,2 DIHYDROXY-1,2-DIHYDRONAPHTHALENE
WKSAUQYGYAYLPV-UHFFFAOYSA-N	Pyrimethamine
VEGXETMJINRLTH-BOZYPMBZSA-N	GENTAMICIN C1A
JTEGQNOMFQHVDC-NKWVEPMBSA-N	Lamivudine
AGPKZVBTJJNPAG-UHFFFAOYSA-N	L-Isoleucine
QXWYKJLNLSIPIN-JGVFFNPUSA-N	Droxidopa
MFFMDFFZMYYVKS-VIFPVBQESA-N	Sitagliptin
KBPHJBAIARWVSC-CFWGZHMLSA-N	Xanthophyll
WTLAYXVNIWTZJI-UHFFFAOYSA-N	Dimethylallyl Diphosphate
YKPYIPVDTNNYCN-INIZCTEOSA-N	AG3340
VKHAHZOOUSRJNA-IRYDGCRRSA-N	Mifepristone
UOSHEQUPXVUQJA-BAUQNORZSA-N	Difluprednate
WOKDZYCJTIMALX-YOHZANMFSA-N	6-Hydroxy-7,8-Dihydro Purine Nucleoside
KEHNGAHNKVLUSC-UHFFFAOYSA-N	[4-amino-2-(tert-butylamino)-1,3-thiazol-5-yl](phenyl)methanone
DQQDLYVHOTZLOR-NNFAFSNNSA-N	Udp-Alpha-D-Xylopyranose
DGKXKJWXXGGPGM-JGMOUXIISA-N	Cefoxitin
RHDOIAROVAHUQJ-WAYWQWQTSA-N	SP2456
PESGIJSKABCHLK-YPKPFQOOSA-N	Phenol
LSUULZIYENPLBF-UHFFFAOYSA-N	Cyclo-Tetrametavanadate
HBUBKKRHXORPQB-FJFJXFQQSA-N	2-Fluoroadenosine
YCIMNLLNPGFGHC-UHFFFAOYSA-N	1,2-Dihydroxybenzene
LXBIFEVIBLOUGU-FSIIMWSLSA-N	1,5-Dideoxy-1,5-Imino-D-Mannitol
KWCKZIJGKMCYCI-QFIPXVFZSA-N	1-{3-oxo-3-[(2S)-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]propyl}-3-phenylquinoxalin-2(1H)-one
ORUZACWROKWTRH-DVKNGEFBSA-N	2,3-Di-O-Sulfo-Alpha-D-Glucopyranose
SNICXCGAKADSCV-JTQLQIEISA-N	Nicotine
DBEPLOCGEIEOCV-VLYKBWAZSA-N	Finasteride
CDEVHSIVANGYRI-XMTFNYHQSA-N	2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL
GNMSLDIYJOSUSW-ZCFIWIBFSA-N	N-Acetylproline
HDAJUGGARUFROU-JSUDGWJLSA-L	Molybdenum Cofactor
CATMPQFFVNKDEY-YPMHNXCESA-N	SCV-07
ODBLHEXUDAPZAU-POSQFAOWSA-N	Isocitric Acid
IJBYVKWTVVYTPL-UHFFFAOYSA-M	Polystyrene sulfonate
BDJRBEYXGGNYIS-UHFFFAOYSA-L	Azelaic Acid
