x
	(+)-chelidonine
LRRC40	5771
TSC22D3	3789
SOCS7	3672
TPD52L2	4241
MUC5AC	4786
CAPN9	5394
ATG4B	7572
BAAT	8632
FUT8	5509
ARSA	5820
PNPLA6	5453
VSNL1	6152
ADAM28	6421
MON1B	7631
SPRR1A	6558
x
	(-)-MK-801
ADSS	7812
CLIC1P1	7999
PLAU	4171
FGFR3	3358
PSORS1C1	7042
TNFRSF1B	4963
IDS	5466
COX7A2L	5943.5
TMED10	5074
RPL35P8	4674
C11orf24	6514
KIF25-AS1	3800
ADTRP	4052
EWSR1	7004.5
FAM63B	7496.5
MBNL2	6924
TUT1	5550.5
HLA-DOA	4105
CDKL3	8337
PIGZ	8019
KCTD5	7516
CLIC3	5909
PDC	3052
GLI2	5355
C1orf159	7205.5
GTF2E1	6642
ZMIZ2	7912
CD97	5846
C14orf45	6771
COMMD10	8828
PDYN	7032
CSF3R	6802
KCNS1	5534
DICER1	6844
TPI1	8531
AAK1	4656
OCRL	8263
ATP5E	7741
HNRNPA3P1	6348
RTN4	7176
PAFAH1B1	6735
HMGB1P4	4900
GMFB	7172
ZHX2	4853
KHDRBS1	8700.5
HOXA7	3465
FOLR2	3629.5
CD180	5957
BCL2L1	6792
MPP3	3528
x
	(-)-atenolol
CD55	7753.5
SF3B3	7828
PGRMC1	8332.5
PASK	5321.5
METAP2	6707
CLDND1	3966
METTL7A	4663
LPCAT1	4936
ALDH6A1	8648
DCTN3	4098
UBE2C	5875
ARL6IP1	5059
DENND4B	6635.5
CSF3	7512
SZT2	3955
UCHL5	8509
NDRG4	4913.5
ZNF324B	4793
HBS1L	3860
ZNF24	7653
POLB	7546
FBLN2	4890
PLCE1	3906
ZCCHC14	3904
SEC14L1	5143
PPP2R5C	8701.5
ART4	4809
SNX11	7586
FAM127A	8480
BDH1	3248
RRP1B	7747
ASB7	5629
AMBRA1	4614
TEK	4216
TM7SF2	8063
INO80B	5569
PRDM1	3937
BASP1	8234
PAFAH1B3	7149
ARHGDIB	3398
CDKL3	5120
IDH3B	6747
MIS18BP1	5395
ATP2B2	3552.5
DLX5	5444
ROBO4	7846
ATG9A	3444
ANKRD17	4149
DPM2	3908.5
PRSS3	5079
x
	(-)-catechin
SNN	6204.5
CAPG	7922
DCAF4	7522
CRAT	4965
FILIP1L	5548
WASF3	6626
SYDE1	5071
PTPRH	6102
LRP12	5493
CACFD1	8719
C20orf195	7254
ATXN7	8373
NR2F2	7413
PURG	7595.5
ICOS	4633.5
UBC	7398
TNPO2	7930
CACNA1I	4311.5
NR1D1	7135
PCDHA2	4643
IQCC	5970.5
NDUFA6	6170
OR7E2P	4901
PCDH1	3402
VPS11	3532
MAPK1	5431
ADH1B	6964
SOX18	7793
COMMD4	4404
SLC25A15	4408
MPPE1	7975
BACH2	7486
ATP6V1C1	5260
SERINC3	3480
TNFAIP6	6387
KIF20A	8239
PPP4R1	3071
PCDHB13	6842
GPATCH3	7780
CAPN7	4837
VSIG4	7272
PNOC	5313
NRCAM	4468
PVALB	3618
PPP6R3	8114
MAPK13	3751
SIVA1	4691
STX6	8469
COMT	7514
AGGF1	8827.5
x
	(-)-isoprenaline
CIB2	5850
FBXO41	6240
LPAR1	3869
DCTN4	7042
SEC22B	4970
AHSP	5037
PTPN22	4238
ENTPD2	4256
CD200	4502
RABEP2	4794
ORC5	4618
NUPR1	8764
NXF1	7453
HMBOX1	8589
CRISP1	6891
SLC25A37	3809
DNAJB1	8139.5
GJC2	3707
ASTE1	5643
STRN3	4156
IL3RA	8799
DAP	3241
VOPP1	8096
DGAT1	8220
LSP1	4063
HTR1E	3901
KLF10	3082
DOPEY1	4160
GCAT	6700
ARAP2	8854
C20orf3	7469
PRKCSH	6803
PCDH12	6443
TFAP2C	7142
LSG1	7655
CRCT1	4612
SNTG1	7056
DPPA4	5983
STC1	5620
AKT3	3822
SLC50A1	7658.5
PI3	3339
ST5	4119
ACTR5	6656
MAP6D1	6363
DDO	5835
HLA-DRB6	7868
SRPK1	5465.5
CRP	4574
VPS45	4220
x
	0173570-0000
ARHGDIB	7759
TNFAIP8	5135
HIST1H2BJ	3317
CREBZF	7515
HBP1	3496.5
ZNF136	7883
TNNT2	5552
CCRN4L	4507
PRDM10	4590
AMPH	8284.5
SCIN	8700
PRKG2	4728
PIEZO2	6030
PLEKHB2	3725.5
THYN1	5842
CCL25	3952
ELAVL1	5627
AP2B1	3075
SNW1	5886
RPL8	7534
RAB3D	8666
CLIC1P1	3318
TBCE	6986
FHL1	4449
TRAV8-3	4997
KIF25	4088
APPL1	3233
RPH3A	5393
CSF2RB	5872
PVRL1	4991
GNPDA1	6286
RCAN1	4295
CEP112	5398
GRPR	5697
LPIN2	6723
EPB41L1	5841
GEMIN6	8663
GLYR1	3255.5
RNU6-73	3376
SNAPC4	4635
SUV420H1	7244
AGBL5	6450
ABCB4	4022
BMP1	4757
MOB1A	8815
UBE2I	8686
ACAP2	6864
PPP1R11	7597.5
ATP8B1	8247.5
C11orf57	3396
x
	0175029-0000
CIITA	5134
BACH1	5963
SLC12A9	8836
GUCY2D	8147
TSSK1B	6928
KHSRP	8447
KIAA0146	5531
FSCN3	7481
AK2	5454
POLA1	3483
LGMN	3561
RGR	7061
MSL2	7645.5
SPTA1	4434
NRXN3	5827
NOC4L	8132
NCAM1	4926
DNAL4	3785
RPP40	8600
PCYT1A	7365
MB	8468
F9	8377
DHX16	3949
NOD2	3006
UBE2Z	6717
ATP8B1	5151
KTN1	7462
GDF5	7421
NCOR2	7046
NEUROG1	4754
HTATIP2	7100
MAP2K2	3668
TEX14	8654
ATG7	6247
PLXNB1	7600
PARG	4251.5
RNASEL	6750
CER1	3450
FOXO1	8833
APOE	4117
MADCAM1	5487
FAM182B	4098
TLE3	3440
CDHR2	3052
DNAJA4	4598
RRP1B	8066
PCK2	4758.5
TFE3	7727.5
GDPD5	7764
NCF4	5553
x
	0179445-0000
NTRK1	4192
NACAP1	8655
RAB3B	3763.5
MED12	7551
CTR9	6673
PI4K2A	6764
HES1	6522
ATP5L	3298
PPP2CB	8164
SHC2	4485
TNFRSF17	7881
BAMBI	7972
TUBGCP5	3643
ZBTB25	4634
CD5	8194
ADRA1A	3206
BIRC7	7709
CETN3	3843
ANKRA2	7164
MYO1A	5643
ERBB4	6616
DCT	6101
SFI1	6583.5
CCL7	3046
FGL1	6083
DUSP1	7946
DSCR6	7043
RNF103	8063
ZBTB20	6038
PPP1R12B	4683
CXCR5	5826.5
DDX21	6799
ARIH2	6596.5
TGFBR2	4294
ZNRF4	8801
MAP2K2	3824
GPR65	5603
SLC6A9	4462
SLC16A3	4454
CD38	5387
MMADHC	7456
CCNG2	3948.5
CES1P1	6299
CNOT2	5038.5
ACLY	6399
SZT2	8714
ALDH3A2	8798
TGOLN2	6496
IKZF2	7847
EFS	5982
x
	0198306-0000
SLC16A1	8592
HCFC1	8563
IARS2	7530
IGHV5-51	6418
FAM49B	4052
NPY6R	7330
HIST1H1A	3215
PHTF2	4712
COL9A2	4358
DUSP13	4865
ZNF160	7599
TBX19	6908
GSS	5197
LANCL1	3979
CLEC1B	3262
LSP1	5125
ZMAT5	6394
GIGYF2	6537
TNFRSF9	5479
KIF1B	8782
SLC16A7	4692
ANK1	6980
INVS	6420
FAM8A1	4205
MED27	3599
PARP16	6196
GGCT	6677
CDHR5	7080
RNASET2	5969
SURF1	4570
MIER2	3081
TANC2	7311
RGN	5879
AAK1	6701
PLN	6109
PARP11	8644
ARHGEF2	6965
MTHFD1	6094
VPS13D	4409
UBXN2B	3961
PILRB	8714
ZNF518A	3185
POSTN	4103
PON3	4882.5
IQCB1	3609.5
TTC3	7529
ARHGAP33	8227.5
KIAA0100	8562
ARNTL	4272.5
RPS10P2	4154
x
	0225151-0000
ARMCX4	3022
SEPHS1	5010
CWF19L1	8758
HEPH	6758
YKT6	4551
FAM158A	3904
CPN1	8726
LSG1	4131.5
EMILIN1	5921
TMCO1	7375
DYRK1A	5243
CD7	6644
UST	7878
ANP32B	7572
TIMM10	7623
PLEKHF1	7369
SNAP23	5836
DAG1	8249
HRK	7573
JARID2	5415
CNN3P1	8739
ARHGAP11A	6914
HK1	7845
TMEM159	5436
RRBP1	8307
RAPGEF5	3814
LRTM1	3585
C19orf66	8209
SLC52A1	6031
PSG9	6312
RASGRP1	3674
GPRC5A	8472
OTUD4	6885.5
KRTAP1-1	4068
ANKS1A	6592
ATG9A	8580
FANCF	5995
FBXO9	8569
FAM129A	3389
TSSC4	7217.5
EHBP1L1	3470
CACNG3	7089
PPRC1	6483
MLF1IP	8770
HOXA1	7680
ATP5S	5225
MPG	7286
DDX3X	7913
UMPS	5879
RBL2	3410
x
	0297417-0002B
GTF2IRD1	8071
RAB26	3020
DDX58	5624.5
NKTR	7848
NEK9	3241
RAB35	7440
PRKRA	7192
SPTA1	6979
CCDC19	3457
ANKLE2	6850
NAB1	4135
PACSIN3	5607
RPUSD2	6896
ACTB	3552
ZNF419	8412
SKIV2L	4153
STX2	3338
VIP	6961
LHPP	7957
NTSR2	4848
XK	3223
MFAP3L	6753
ADAM15	7727.5
MRPS27	8754
MKNK1	6857
CD1E	5637
ZMIZ2	3265
HPRT1	7831
SNAPC4	8321
PPM1H	6974
ADAM10	6908
DLG5	6467
SPOP	7942
CUX1	6620
AKAP9	4138
TMBIM6	6548
WDR45L	7631
KIF22	6994
RELA	6390
NUP160	4217
PITPNM1	8614
RPS6KA5	5841
PQLC3	3519
DCAF4	4240
SNRPB	5769
ZFP2	8697
DNAAF1	3723
USP39	7480
CCNG1	7847
PTPRN2	4785
x
	0316684-0000
SERINC3	7966
LAMC2	8129
SPP2	5720
PTPRU	3904.5
IL4	3388.5
NAT2	7169
DCX	5322
KIAA1644	5446
TSFM	4471
ISYNA1	6767
GCC2	7586
MAP3K9	5558
C6orf211	4182
ACVR2A	3735
DEPDC1	4775
PMCH	7567
LCP2	6622
RPS6KA4	7861
CRK	7812
NR4A1	3108
MYCNOS	3816.5
SRGAP3	3451
C3orf32	8315
AURKA	5821
RAB17	5562
SLC50A1	5392
WDR74	6175
KIFAP3	4121
SLC2A8	6733
IQSEC3	4349
MOBP	5845
GOSR1	6233
XRCC5	8451
SHCBP1	4013
ZC3H7B	5375
FFAR2	3273
CXorf21	3567.5
FAM175B	7034
ITGB3	7636.5
ATG4B	4477
FAM20B	5297
GNPAT	5914
C21orf2	5026
MCM4	6271
DAP3	8821
SFT2D2	8551
C6orf15	8754
BPI	3223
KLF12	7657
KIF17	5664
x
	0317956-0000
CHD4	4888
KCTD5	3944
MARCO	3210
CALCRL	5746
VAMP5	8803
CHRNB3	6383
CYLC2	7011
SACM1L	3008
YIPF5	4678
TULP1	7359.5
IDH3A	7904
IGFLR1	6651.5
ATP1B1	8020
PIAS4	6891
ENG	7790
PIWIL1	3489
MARCH2	7762
PSG7	7120
RARRES2	6734
FNBP1	5306
UMPS	7319
VENTX	7851
DLG2	5110
CADPS2	8049
USP6	7358
CYHR1	6320
PDE7B	7044
PRDM9	7796.5
PNOC	8331
ADRBK2	6802.5
PDCD1	7830.5
CPS1	5942
CNR2	7007
NT5C2	4841
FBLN1	5284
ARNT2	3433
VCP	6706
SPAG5	8486
RS1	7934
ACYP2	8272
EDIL3	7990
KCNH6	6081
WBP5	3986
NPM3	8417
POU2F1	5137.5
KCNMB2	3816
SPCS3	4389
SKP2	4355
OSBPL7	3704.5
IFNAR2	3358
x
	1,4-chrysenequinone
FAF2	8348.5
SYN3	3269
AQP1	8039
ARHGEF12	8354.5
GLRA1	4211
YRDC	4504
CRYGB	3979.5
PPP1R10	5025
MTF2	8210
IFNW1	7483
RPL23AP22	8269
PAF1	4885
MBD2	3987
TMEM132A	4667
IFT88	3733
LHFP	8139
PCDHB11	5809
CAPN10	8044.5
ZNF646	4883
AARSD1	7887
CD302	6844
ZNF93	3362
TNK1	7724
BACE1	5857
KCNN2	5692
METTL5	8853
TRIM24	7646
S100A13	8337
ACSBG1	6157.5
HGF	7905
ACTN4	8806
NAE1	8628
GPR22	8220
CALR	3561.5
SPEG	5018
HLA-DMA	8604
SLC35D1	7988
ZNF395	7717
KLF15	4903
QARS	4077
HMGB3P1	7916
PAWR	6294.5
PCNX	8115.5
PPP2R5E	7793
RASSF1	8707
C16orf42	5306
ZCCHC8	3315
BCL2	6816
PAX6	6442
PRIM1	6355
x
	1,5-isoquinolinediol
CXorf57	8758.5
INSR	8651
PNMA3	8131
ALDH3B1	4831
APC2	6617
ATRNL1	5232
KIAA1033	4800
DAPK1	4739
INTS12	3200
PIP5K1B	7836
TRAPPC4	3181
GABRR1	7455.5
USH1C	6907
LIM2	3366
PRSS3	7513
RBL2	4596
RAVER2	3517
EXOSC9	7729
PTPN1	4617
NTN3	8614
SNW1	7440.5
GBX2	3657
CHST15	8390
PITX3	5122
EVI5	5647
CD209	3363
HAP1	6341.5
NREP	8833
ZSCAN16	7866
PCSK2	8409.5
GPD1	5878
ATP8B3	4117
CHPF	6953
BLVRB	8377
TSFM	4279.5
DLG5	4844
AQP2	3131
CEBPD	6941
COBRA1	3680
GPR137	5905
MAP3K1	8646
LRIG1	6785
ZMIZ2	3941
PTPN22	7624
ERBB3	3381
XIAP	3566
SASH1	6723
PRDX3	3742
SIAH2	8697
CCDC6	3220
x
	10-methoxyharmalan
TERF2	7597
SET	7422
HOMER1	4321.5
UBE2V2	4820
SERPINB4	3898
KLHDC10	4345
RGS4	7083
TAB2	6588
RNASE6	4953
SURF2	3793
C5orf54	5061
UBXN7	4251.5
MAG	7631
OAT	4911
TMEM63A	5201
ERCC3	5503
RHOH	5904
SERPINI2	6551
CYP4F2	7060
CRYAA	7897
MED4	8465
TAF15	5149
PLEKHF1	5652
MED16	6199
FNDC3B	6085.5
DSP	8451
NGDN	4718
ASB8	5413
CUEDC2	6392
MDM2	3708
STAB1	8186
SOHLH2	4572.5
EVL	4813
PKD2L1	3072
AKT3	4410
NRIP1	4263
TBX5	6022
RCN2	6046
GMDS	7557
ZFP30	3591
POLE2	6285
FAM20B	4744
ANKLE2	8392
OXT	3306
ZNF749	6891
ADH1C	6613
ATP6V0A2	5481
PRKCQ	7301
VCAM1	7997
OTOR	5582
x
	11-deoxy-16,16-dimethylprostaglandin_E2
TRANK1	6447
CKLF	6052
PDHA2	3787
ALOXE3	5218.5
PACSIN3	8518
DCLK1	4225
TMEM135	4273
CHRNE	5968.5
SLC6A5	4558
C12orf49	5319
ZNF236	7974
ITPK1	3007
PCSK1N	3571
CRHBP	3936
C15orf39	5971
GPRC5D	4209
ZNF334	8427
SP2	5628.5
DOCK1	8180
ADAM22	6096
CUL7	5052.5
BCL7B	8689
EIF1	5670.5
RANBP3	3950
GC	3310
ARHGAP33	5779.5
MAF	3153
CD40LG	6026
SSRP1	6953
NMT2	6563
RND2	8457
CIAPIN1	7031.5
STS	6112
MPO	3640.5
CCNK	5842.5
SAFB	7967
CACNB3	6053
SEC22B	8548
TNNC1	8635
TMEM186	5342
FUCA1	4385
ZNF175	8155
VPS26A	6662
EFR3A	6306.5
HIST1H4C	6070
WNT11	4180
ZFAND5	7380
DUSP21	6320
TYRO3	6066
PPP3CA	7465
x
	12,13-EODE
SCNN1A	5880
NTM	4848
ATP12A	7105.5
AKAP3	8611
NDRG1	8062
PFKFB4	7057
RPN2	6700
KIAA1109	5307.5
C1orf106	6504
PLA2G5	5217
ACAP1	5756.5
TCF7	6483
SEMA7A	6460
PRKCSH	7921
GALNT3	4516
C9orf95	4655
DYRK4	5706
SUPT16H	4758
NUSAP1	7486
TRNAU1AP	3614
RAX	4763
MINK1	4286
CD46	4536
DDX3X	3510
RBM42	7896
CEP350	4270
FERMT1	4020
NFATC1	4787
SPTSSA	6080.5
EPB41L3	5493
PI3	8798.5
SLCO2B1	5078
TFRC	6258
MYOZ3	5291
PITX2	6121.5
CYLD	8381
ASB4	3686
TMEM208	3110
C11orf71	7500
DPH5	6136
ING2	7759
CLIC4	5310
VEGFA	4235
SLC35E1	3116
IRX5	3882
PRAMEF12	8354
MYL7	6211
ASAP1	6251
SH2B1	4764
CYTH1	7166
x
	15(S)-15-methylprostaglandin_E2
FKBP1A	4830
IDO1	4246
GPKOW	5226
SRRT	3659
FMO3	3742
DOK4	7216
DFFB	3840
ULBP2	4166
SNRPB	5278.5
B2M	4393
IGLV3-10	4330
IGFBP2	5977
TECTA	7240
APOBEC3G	7918
CD28	5281
GPR137	4045
EIF2B2	5026
DET1	6247
SOCS2	3291
SLC2A6	3389
HSPA1A	4693
CTBS	7586
AGRP	3461
PCDHGC3	4073
LILRA2	7597
CYP27A1	6525
HOXD11	3116
STEAP4	8557.5
LCP2	4710
UTP6	8128
HIBCH	3575
CXorf21	7772
TRIM68	8183.5
SLC17A2	8351.5
BAIAP2	8002
PMFBP1	3816
CACNA1A	3009
RAB40B	6268
SUCLA2	6722
MAPRE2	4940.5
PMM1	3457
ACE2	3410
SEC24C	5948
RRBP1	4435
FCN2	8369
SEC16A	4142.5
KIAA0368	6220.5
ABCC6	5662
SRSF3	5163
KIF5B	4699
x
	15-delta_prostaglandin_J2
WIPF2	3549
GMPR	7488
G6PC3	4370
RPS17P5	8328
ALPK3	3635
TRMT1	4553
CSF2RA	5264
GPR87	3284
TSHR	4963
DNAJB12	3936.5
CYP11A1	7146
ANGPTL4	3741
SELL	6359
DALRD3	6209
UBTF	7568.5
JAG1	5261
ENDOD1	8268
ZFR	3996
FOXE1	7159
GTF2I	8014
RAB28	6609
RAP2A	6894
RPL31	6596
C6orf162	7192
FGD6	4218
SLC39A14	7128
TMSB15B	3443
COL5A1	7974
TMED9	3178
KIAA0284	8009
COL10A1	5220
IKZF4	4750
NEURL	4729
NRG1	6699
COQ7	5180
NEK2	8834
SORBS1	4863
MANEA	3179
PDE1A	7380
B3GALT2	7341
SHANK2	6687
PADI4	6713.5
KLF13	5576
ATP10A	4681
ZNF334	7200
RHOBTB2	7771
PCIF1	4201
RAB11FIP3	7497.5
GMEB1	4790
TFDP1	7434
x
	16,16-dimethylprostaglandin_E2
ARMC9	8762
SLC17A9	8677
PPP1CC	4226
GPR35	3642
TUB	3889.5
DIRAS3	7045
C12orf51	5505
GIMAP4	5049
ADH6	7947
PRDX1	8645
COL5A2	4764.5
ATG13	6618.5
TOX	3255
PVR	6104
FLNB	4169
CPNE6	3808.5
ARMCX3	6746
METTL7A	5122
PNO1	3661
COMMD3	3326
TTF2	3354
C1orf61	8369
CRYBA2	7840
METTL13	5459
EML3	7282
WDR59	3695
PAOX	3947
GFM1	4281
PRPF4B	3761
PTPRN2	8019
SEMG1	7063
STRN4	7059
SERPINB5	6183
BAX	7857
ATXN1	3780
RAB5A	7476
GRM4	6038.5
DMXL2	5416
NDUFB11	5543
HSF2	6337
SRF	4207
CD164	4012
CDH22	5707.5
ORC6	6262.5
WWP1	6331
PDE3A	5500.5
PRKAB2	8106
MEIS2	5754
PTPN2	3206
ZMIZ1	5606
x
	16-phenyltetranorprostaglandin_E2
ACSL6	4021
NDUFS3	8440.5
SLC6A14	6638
CACNA2D3	4808
SYNJ2	7835
AES	4787
PDLIM3	5582
ICT1	3590.5
LOXL1	7738
TREML2	8660
NCOR1	6139
COX7C	5589
SLC12A4	8006.5
PDAP1	5250
HMGCL	5368
ALS2CL	5830
SLC6A9	8522
MN1	6814
C19orf42	6355
HOXC8	6568
KLF10	8173
TK2	4663
CALM1	6151
PAPOLG	5782
RBM28	3344
MYOZ2	6530
GTF2A2	6183.5
LAD1	6388
POLA2	4198.5
MCHR1	5544
FGF2	7888
BARX2	6429
DIRAS2	7595
TNFRSF10C	5273
UQCR11	8521
MEPE	5531
FOXO1	5036
MXD3	4352
ZC3H4	5469.5
CLN5	7094
KLHL22	4947
OSBPL3	5806.5
TMCO1	5188
DGCR14	7300
UGT2B15	3637
ACVR2A	7793.5
ZNF76	4168
R3HDM4	6003.5
MIR22HG	3596
ZNF493	6368
x
	2,6-dimethylpiperidine
DEFA6	7092
MRPS18C	4721
SRRM2	6937
UBR5	7406
CHRNA6	8161
PIGV	5335.5
GRPR	7785
GEMIN2	8807
WDFY3	7704
HIST1H1A	6475
KDM1A	7208
LRRFIP1	6728
PGM5	5596
KDSR	4405.5
VAPB	8660.5
ATF7IP2	5841
TTK	6215.5
ZNF230	3322
MAPK7	7979
ATP6V0A1	4824
GABBR1	3139
SLC6A5	7936.5
ROR1	4259
CNTN2	4397
RSBN1	7089
GATA3	8281
TSPAN13	5856
HBBP1	8355
ATP5L	7663
SPP1	6838
STK4	4359.5
KIF3A	5287
MYF5	4155
USP10	8635
OR12D2	4361
LINC00339	5511
DHRS12	3910
SYNRG	3550.5
ONECUT1	6601.5
RASSF8	7568
GTF3A	8503.5
RAD54B	8643
FAM127A	3977
FGF3	7395
C10orf95	8313
KANK2	3386
RPL31	3161
RBM5	4556
CST2	6252
SYNJ2BP	3223
x
	2-aminobenzenesulfonamide
TTLL4	4814
CCDC30	5079
PTPRR	7834
SEMA4F	3305.5
TSEN34	8328
TMSB15A	5907
NUBP1	6674
HADHB	4618
CSTF2	8134
PRKG2	3206
TNPO2	6702
HIST1H1C	6675
SFXN3	8416
REN	6185.5
KRT8P12	6073
ATP6V1A	8347
RERGL	5062
SCRN1	5492
LMOD1	5050
EIF1AX	5317
TMEM50A	7635
BFAR	7597
SSBP2	5828.5
TMEM183A	5158
TSPAN7	3993.5
ELOVL6	5084
VPRBP	5685
UTS2	8759
RAB7A	3222
HTR1A	4765.5
FUZ	6610
CDKL1	4670
NTSR1	8612
NYNRIN	6259
COG5	3510
ME1	5798
NCBP2	6217
PSG11	3637
CRH	8777.5
RTF1	5347
PFDN6	6203
CYP2C8	8433.5
C9orf16	3450.5
KIF13B	4183
TRPV4	5109
PPP2R3C	3034
ZRSR2	5448
CAPZA2	5594
KDM1A	8151
NACA	7973
x
	2-deoxy-D-glucose
WBP5	8039
C14orf79	3263
HUS1	3509
LRRC8B	4282
CD14	8608
AHSG	6441.5
AZIN1	3215
RNF113A	6230
NOS1	5065
FOLR2	6960
BAG5	7935
NPM1	5688
ITGAL	5724
C2CD2L	6433.5
TSPYL2	3238
LAMB1	7520
BTBD3	8680
MYO15B	5264
WDFY3	3689
POU4F1	6854
ZNF45	3164
TTC9	5667
PSMB4	6370
PLCB2	6593
PSMB1	6964.5
XRCC3	6249
LZTR1	3052
UCP3	7263.5
CBX4	5842
ZNF408	5925
INTS7	5186
PHLDB1	4186.5
GPT	3409
FAM136A	8133
MAML1	7949
TRIM38	3526
OLIG2	8805.5
RGS5	6655
MTHFD2	8342
APOBEC3C	3304
MDFIC	6773
RASIP1	8525
ALOX15B	4580
MBD2	5070
TTPA	7667
LRCH3	4893.5
PLA2G5	7810
DEXI	5173
ATG4B	8471
INO80D	4216
x
	3-acetamidocoumarin
PACSIN2	8117
ERG	8593
CSTB	8282
PFDN4	5914
OR2J3	7241
SERPINE1	7533
MDN1	3674
ZNF34	5176
IKZF1	7047
TEK	8202
TSSK1B	3817
LRCH4	8588
ARHGAP35	4914
CACFD1	3966.5
HRSP12	3295
SIRT3	3592
OBFC2A	8766
ANAPC10	4776
SP1	8711
LAMP1	5660.5
NFKBIE	5375
GABRA6	4468
ZW10	3156
HLA-J	8349
PPP1R3D	7177
SCGB2A1	8591
ZNF133	4220
FSCN2	4554
TSPAN13	7868
TRIM29	7444.5
KRT31	7519
HLA-DRB6	7679
GPR63	7551
GPRIN2	3918.5
ACSL3	3535
NGB	7603
MAN1A2	3486
APOA1	7783
NAA35	5438
GYS2	4717
FAM118A	4539
DZIP1	3880.5
STYXL1	7931
TNFRSF25	4659
DDX10	8376
HECA	8756
WASL	8211
PFN2	6265
TRIM3	7484
RANGAP1	4053
x
	3-acetylcoumarin
USP36	3527
PHYHIP	6124
ACTA1	6883
PAPSS2	7152.5
MUT	6795
PHC2	8210
SLK	7431
HIST1H2BK	7525
DHX57	3813
MARCKS	7076.5
GSTT1	8259
FLRT3	8018
MCMBP	4173
TOX4	6206
CACNG5	8716
LSR	4614
AGRN	4221
C16orf71	5307.5
SELPLG	3620
ITSN1	5979
DYRK2	4165
ANKRD11	5097
KCNMB4	7152.5
ICOS	4469
ATP9B	3077
PFKM	7891
ACADS	4312
POLRMT	4563
KIAA0141	7771
PDE4B	5307.5
NAA50	3212
MT1H	8655
TMED3	8215
BNIP2	4162
C9orf16	3315
RAP2A	6598
GLRA2	6017
ACADVL	8022
MERTK	3825
EDDM3B	6588
TGFB2	5753
GUSB	6909
TBX5	4464
HNRNPK	5563
PIK3CA	8626
PRRX2	5080
NFYC	8825
WLS	8727
C13orf44	3154
TSHR	5943
x
	3-aminobenzamide
IKBKAP	4919
CREG1	8847
PPFIA3	3570
SRD5A1	4999
LEPR	4394
ZZEF1	6779
CCR7	8047
SLC25A15	5747
ALDH7A1	5775.5
HINFP	7195
PTH2R	5234
DCAKD	4245.5
COL11A1	7586
COL14A1	5132
PUS7	7278
MON1B	4601
CEACAM6	7702
DYRK3	7302
GABRA2	6490
WDTC1	4147
CEMP1	6354
PACRG	6065
TARDBPP1	7491
TRIM14	5265.5
CCDC68	3443
AGPS	6922
WDR73	8792
RARB	7868
FCER2	3886
SLC25A16	7232
SERINC3	8845
TM4SF4	5305
NAPA	8479.5
AMMECR1	7777
